0-496: pg mediated inhibition with nc[15][]=0
497-993: pg mediated inhibition with nc[15][]=1
994-1490: gc mediated inhibition 

pg mediated inhibition with nc[15][]=0 
run_ 244 /parameters.hoc:light1_peak_rate = 240
run_ 245 /parameters.hoc:breath_peak_rate = 440
run_ 245 /parameters.hoc:light1_peak_rate = 260
run_ 246 /parameters.hoc:breath_peak_rate = 440
run_ 246 /parameters.hoc:light1_peak_rate = 280
run_ 247 /parameters.hoc:breath_peak_rate = 440
run_ 247 /parameters.hoc:light1_peak_rate = 300
run_ 248 /parameters.hoc:breath_peak_rate = 440
run_ 248 /parameters.hoc:light1_peak_rate = 320
run_ 249 /parameters.hoc:breath_peak_rate = 440
run_ 249 /parameters.hoc:light1_peak_rate = 340
